# post_id	n_slides_captured	image_source	url	title	artifact_folder
DX11nCCiPlM	1	og:image	https://www.instagram.com/p/DX11nCCiPlM/	Marketing Mentor on Instagram: "Makro proved that waste is often just a perception problem. Fruit wasn't spoiling faster, people were just judging it sooner."	data/instagram-research/posts/marketing-mentor-on-instagram-makro-proved-that-waste-is-oft--DX11nCCiPlM
DX7DjZujNHc	1	og:image	https://www.instagram.com/p/DX7DjZujNHc/	Montag School on Instagram: "Como sair do uso solto de ferramentas e começar a construir workflows de verdade com IA."	data/instagram-research/posts/montag-school-on-instagram-como-sair-do-uso-solto-de-ferrame--DX7DjZujNHc
DX7ONeAkY7h	1	og:image	https://www.instagram.com/p/DX7ONeAkY7h/	Danielly Fonseca on Instagram: "O caso recente da retratação na Nature é o lembrete amargo que precisávamos."	data/instagram-research/posts/danielly-fonseca-on-instagram-o-caso-recente-da-retratação-n--DX7ONeAkY7h
DX9lAWVNff4	1	og:image	https://www.instagram.com/p/DX9lAWVNff4/	GALERIA BASE on Instagram	data/instagram-research/posts/galeria-base-on-instagram--DX9lAWVNff4
DXh0iFmEiEN	1	og:image	https://www.instagram.com/p/DXh0iFmEiEN/	PM3 | A escola de quem faz Produto Digital on Instagram: "Quem é DHH e por que isso é importante?"	data/instagram-research/posts/pm3-a-escola-de-quem-faz-produto-digital-on-instagram-quem-é--DXh0iFmEiEN
DXlzCb5gCdm	1	og:image	https://www.instagram.com/p/DXlzCb5gCdm/	Felix Kosok on Instagram: "Some specters still haunt us…"	data/instagram-research/posts/felix-kosok-on-instagram-some-specters-still-haunt-us-friday--DXlzCb5gCdm
DXotI-aDe_-	1	og:image	https://www.instagram.com/p/DXotI-aDe_-/	Jefytter Motta on Instagram: "A obra ficou linda e engraçado hahhahaha."	data/instagram-research/posts/jefytter-motta-on-instagram-a-obra-ficou-linda-e-engraçado-h--DXotI-aDe_-
DXowcZ6DNYn	1	og:image	https://www.instagram.com/p/DXowcZ6DNYn/	André Lug - Renda com IA on Instagram: "Um estudo publicado na revista Science mapeou como enxames de IAs autônomas conseguem fabricar consenso."	data/instagram-research/posts/andré-lug-renda-com-ia-on-instagram-um-estudo-publicado-na-r--DXowcZ6DNYn
DXspVQNCRHp	1	og:image	https://www.instagram.com/p/DXspVQNCRHp/	Destino China on Instagram: "A CHINA ACABOU DE QUEBRAR O MODELO DE DOUTORADO"	data/instagram-research/posts/destino-china-on-instagram-a-china-acabou-de-quebrar-o-model--DXspVQNCRHp
DXuT1tdDKvm	1	og:image	https://www.instagram.com/p/DXuT1tdDKvm/	Spelling Mistakes Cost Lives on Instagram: "AI corporations are putting all their chips on railroading legislators."	data/instagram-research/posts/spelling-mistakes-cost-lives-on-instagram-ai-corporations-ar--DXuT1tdDKvm
DXzkj4TkaBa	1	og:image	https://www.instagram.com/p/DXzkj4TkaBa/	Jefytter Motta on Instagram: "No começo, todo mundo vendia IA pelo tamanho do modelo."	data/instagram-research/posts/jefytter-motta-on-instagram-no-começo-todo-mundo-vendia-ia-p--DXzkj4TkaBa
