id,timestamp,media_type,media_product_type,permalink,like_count,comments_count,reach,saved,shares,total_interactions,insights_error
17912228016185815,2026-04-23T02:55:11+0000,IMAGE,FEED,https://www.instagram.com/p/DXdUo0_Duw5/,3,0,78,0,0,3,
18111633046631334,2026-04-22T23:33:09+0000,IMAGE,FEED,https://www.instagram.com/p/DXc9hb4jvco/,2,0,70,0,0,2,
17884621992513984,2026-04-22T22:00:24+0000,IMAGE,FEED,https://www.instagram.com/p/DXcy6JYDm31/,7,0,102,0,0,7,
18076755935366288,2026-01-31T14:02:05+0000,VIDEO,REELS,https://www.instagram.com/reel/DULXwpNjDTt/,10,2,219,0,0,12,
18085910036094146,2025-12-18T20:02:22+0000,VIDEO,REELS,https://www.instagram.com/reel/DSat-ZVDAo_/,15,1,217,0,0,16,
18105373492735509,2025-12-17T19:00:42+0000,VIDEO,REELS,https://www.instagram.com/reel/DSYCKXZDDXH/,74,1,861,1,2,78,
17974764737809706,2025-12-17T02:38:13+0000,VIDEO,REELS,https://www.instagram.com/reel/DSWRuZXjP4q/,21,0,365,0,0,21,
18075070838588361,2025-12-16T03:30:50+0000,VIDEO,REELS,https://www.instagram.com/reel/DSTy9zOjAip/,19,0,355,0,0,19,
18068022020629188,2025-12-15T21:44:37+0000,VIDEO,REELS,https://www.instagram.com/reel/DSTLVQvDK-8/,51,2,372,1,0,54,
17892248883385789,2025-12-15T21:03:59+0000,VIDEO,REELS,https://www.instagram.com/reel/DSTGsZJjLh7/,33,1,257,0,0,34,
18086590582839807,2025-12-15T18:15:27+0000,VIDEO,REELS,https://www.instagram.com/reel/DSSzZQMjJhd/,11,0,275,1,0,12,
18278235847303998,2025-12-14T20:05:43+0000,VIDEO,REELS,https://www.instagram.com/reel/DSQbOBBDKT7/,65,2,413,1,0,68,
17886148989408339,2025-12-14T19:58:31+0000,VIDEO,REELS,https://www.instagram.com/reel/DSQaZPijOW2/,51,2,340,1,1,55,
17892255945384487,2025-12-14T18:57:56+0000,VIDEO,REELS,https://www.instagram.com/reel/DSQTdi3jMsL/,79,3,674,6,7,95,
18062646830381663,2025-10-18T21:39:13+0000,IMAGE,FEED,https://www.instagram.com/p/DP90otvEUml/,7,0,207,0,1,8,
18012955910792422,2025-10-05T13:53:27+0000,VIDEO,REELS,https://www.instagram.com/reel/DPbg_ddkYT4/,27,0,286,0,0,27,
18040450091457350,2025-09-22T21:09:09+0000,IMAGE,FEED,https://www.instagram.com/p/DO60hu7Ebkp/,12,0,176,0,0,12,
18061476890254115,2025-08-31T00:43:29+0000,IMAGE,FEED,https://www.instagram.com/p/DN_-xdIEfKd/,8,1,202,0,0,9,
17872905234401312,2025-08-01T00:40:48+0000,IMAGE,FEED,https://www.instagram.com/p/DMyunkLRo4l/,48,2,246,0,0,50,
18084211645800882,2025-07-10T13:50:42+0000,IMAGE,FEED,https://www.instagram.com/p/DL7fhnZx3uY/,34,1,372,0,1,36,
18120788743463364,2025-06-28T22:23:22+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DLdgqA7xfO_/,27,3,746,1,0,31,
18045144680250295,2025-06-25T21:02:13+0000,IMAGE,FEED,https://www.instagram.com/p/DLVo_DDx-vO/,34,0,273,1,0,35,
18063096401107247,2025-05-06T20:45:07+0000,IMAGE,FEED,https://www.instagram.com/p/DJU3SB-RWN5/,56,5,384,0,1,62,
17848265436416260,2025-04-09T22:54:38+0000,IMAGE,FEED,https://www.instagram.com/p/DIPkpC7R7Zk/,14,1,195,0,0,15,
17873520525225057,2025-04-01T01:15:55+0000,IMAGE,FEED,https://www.instagram.com/p/DH4pp-PRn5q/,18,0,210,1,0,19,
17944769684971037,2025-03-31T23:21:37+0000,IMAGE,FEED,https://www.instagram.com/p/DH4ck2NR8Zu/,23,2,262,0,0,25,
18145769473364475,2025-02-08T12:29:22+0000,IMAGE,FEED,https://www.instagram.com/p/DFz9Y8eRLlZ/,10,0,242,0,0,10,
18056550160979143,2025-01-27T18:07:44+0000,IMAGE,FEED,https://www.instagram.com/p/DFVqkvQxljR/,20,0,249,0,0,20,
17891986617153782,2025-01-09T11:10:35+0000,IMAGE,FEED,https://www.instagram.com/p/DEmkhqoR98m/,37,0,407,0,0,37,
17856531447348192,2025-01-07T12:14:35+0000,IMAGE,FEED,https://www.instagram.com/p/DEhiQrXxMon/,20,0,315,0,0,20,
18072879937593874,2025-01-06T01:34:06+0000,IMAGE,FEED,https://www.instagram.com/p/DEd0Kw2MOf4/,12,0,241,0,0,12,
18063129979873140,2025-01-05T22:38:30+0000,IMAGE,FEED,https://www.instagram.com/p/DEdgEl7Rl-5/,11,0,298,0,0,11,
18074529445617764,2024-12-23T13:40:32+0000,IMAGE,FEED,https://www.instagram.com/p/DD7ELHOxC7-/,23,0,398,0,0,23,
17882637450191251,2024-12-22T20:22:35+0000,IMAGE,FEED,https://www.instagram.com/p/DD5NY4bRFCW/,26,0,428,1,0,27,
18047405957120476,2024-12-21T15:46:39+0000,IMAGE,FEED,https://www.instagram.com/p/DD2JBFFxDQK/,90,0,658,1,0,91,
18060374296830720,2024-11-13T12:07:40+0000,IMAGE,FEED,https://www.instagram.com/p/DCT5v8mx9Rm/,58,1,689,0,1,60,
17881187400090371,2024-11-10T12:29:48+0000,IMAGE,FEED,https://www.instagram.com/p/DCMN5X1RfKE/,39,1,664,1,1,42,
18032563514362284,2024-11-07T00:12:18+0000,IMAGE,FEED,https://www.instagram.com/p/DCDLHJ6xhcD/,31,0,600,0,0,31,
17912360865021023,2024-11-06T17:48:15+0000,IMAGE,FEED,https://www.instagram.com/p/DCCfKTRRWaU/,67,2,1011,3,2,74,
17973578822651937,2024-11-06T11:03:09+0000,IMAGE,FEED,https://www.instagram.com/p/DCBwzMnxzU0/,40,1,826,0,1,42,
18253169803284379,2024-11-06T00:50:02+0000,IMAGE,FEED,https://www.instagram.com/p/DCAqorFRs7D/,29,1,335,1,0,31,
18015692306370391,2024-11-05T18:13:12+0000,IMAGE,FEED,https://www.instagram.com/p/DB_9OHLRe4t/,34,0,605,0,1,35,
18307198993166988,2024-11-05T13:45:00+0000,IMAGE,FEED,https://www.instagram.com/p/DB_ehy3x6uQ/,29,1,419,0,0,30,
17871079386217868,2024-11-05T00:54:55+0000,IMAGE,FEED,https://www.instagram.com/p/DB-GZekx0c_/,22,0,383,0,0,22,
17986124495752035,2024-11-04T20:28:22+0000,IMAGE,FEED,https://www.instagram.com/p/DB9n5O8xdVe/,32,0,375,1,0,33,
18331946032147931,2024-11-04T02:08:06+0000,IMAGE,FEED,https://www.instagram.com/p/DB7p-pUxdpA/,22,0,480,1,0,23,
18074542231605512,2024-10-30T13:03:21+0000,IMAGE,FEED,https://www.instagram.com/p/DBv8_cmxeMR/,110,1,724,0,1,112,
18246680935279734,2024-10-10T00:46:35+0000,IMAGE,FEED,https://www.instagram.com/p/DA7IxtxMtP9/,30,0,564,0,0,30,
18130651528369766,2024-09-28T11:03:48+0000,IMAGE,FEED,https://www.instagram.com/p/DAdV36Wxd-1/,23,0,355,0,0,23,
